,job_title,company_name,rating,company_location(city),company_location_state,salary_type,payment_cycle,Salary Range From,Salary range To,currency,job_type,job_benefits,qualifications,job_description
216,Data Analyst and Tableau Developer,Gantec Publishing Solutions,,Schaumburg,IL,Estimated,Annually,"80,000","110,000",$,Full-time,,"SQL, Python, SAS, Tableau, Redshift, Bachelor's degree","Role: Data Analyst and Tableau Developer (Full time)

Location: Schaumburg, IL

Description :
Develops and maintains a standard methodology for documenting and codifying requirements and specifications using standard templates that meet the needs of both business partners and ITS.
Develop prototypes using reporting software & BI tools to model and iterate requirements, and ensure the appropriateness of chosen solutions.
Work with business partners and process owners to document data, reporting and BI requirements and performance targets.
Provide analytical support for the development and deployment of solutions, and collaborates with developers and end-users to insure that application functionality meets business needs.
Contributes to the deployment planning, including training, communications and user readiness planning.
Develop metrics to monitor data quality.
Analyze and resolve data quality and reporting issues.
Develops test cases and scenarios, and actively participates in the testing and quality assurance process

Skills: tableau, SQL, PYTHON, REDSHIFT, SAS

Minimum Education Requirement: This position requires, at a minimum, a bachelor’s degree in computer science, computer information systems, information technology, or a combination of education and experience equating to the U.S. equivalent of a Bachelor’s degree in one of the aforementioned subjects

Job Category: IT
Job Type: Full Time
Job Location: USA"
217,Data Analyst I - Microbiology,Mount Sinai,3.7,New York,NY,Explicitly Defined,Annually,"58,661","74,250",$,,,"Management, Bachelor's degree, Master's degree","Strength Through Diversity

Ground breaking science. Advancing medicine. Healing made personal.

The Data Analyst I is responsible for implementing best information technology data management practices in an effort to improve and ensure quality, streamline data cleaning efforts and deliver analyzable databases within agreed upon project timelines.

Roles & Responsibilities:
Designs and writes custom applications needed to ensure the database meets requirements for the entry, management and reporting of data.
Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data. Assures the quality control compliance process.
Identifies and implements solutions to data management issues and concerns that arise during the conduct of research studies.
Assists staff with technical issues related to electronic and remote record keeping systems; trains staff to help improve quality of data collected.
Assists medical students, interns, residents and/or program faculty with queries and generating statistical analyses.
Maintains knowledge of the current regulations and technologies related to data management.
May write and prepare manuscripts and other materials for internal and external audiences.
Performs other related duties.

Requirements:
Education: Bachelor’s degree in computer science, statistics and/or related field, or combination of equivalent work experience and education. Master’s degree in relevant field of study preferred.
Experience: 2-3 years database application/management experience, preferably in a large medical center or healthcare environment.

Strength Through Diversity

The Mount Sinai Health System believes that diversity, equity and inclusion are drivers for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education, and advancement as we revolutionize medicine together and participate actively as a leader within the Mount Sinai Health System by:

Serving as the primary resource management representative of the Mount Sinai leadership teams, committees, etc., and acting as the primary executive leader interface between Mount Sinai and key executives from the health systems’ vendors and partners.

Engaging with relevant thought leaders and policy-makers at the federal and state levels, and representing the Health System as assigned.

Using a lens of equity in establishing and promoting policies and procedures and providing opportunities for all to thrive.

Confronting racist, sexist or other inappropriate behavior and challenges exclusionary organizational practices and serving as a role model to promote anti-racist behaviors.

Inspiring and fostering an environment of anti-racist behaviors among and between departments and co-workers.

We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.

Explore more about this opportunity and how you can help us write a new chapter in our story!

Who We Are

Over 42,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.

Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai Morningside (formerly Mount Sinai St. Luke’s), and New York Eye and Ear Infirmary of Mount Sinai.

The Mount Sinai Health System is an equal opportunity employer. We comply with applicable Federal civil rights laws and does not discriminate, exclude, or treat people differently on the basis of race, color, national origin, age, religion, disability, sex, sexual orientation, gender identity, or gender expression.

EOE Minorities/Women/Disabled/Veterans

Compensation

The Mount Sinai Health System (MSHS) provides a salary range to comply with the New York City Law on Salary Transparency in Job Advertisements. The salary range for the role is $58,661.00 - $74,250.00 Annually. Actual salaries depend on a variety of factors, including experience, education, and hospital need. The salary range or contractual rate listed does not include bonuses/incentive, differential pay or other forms of compensation or benefits."
218,FINANCIAL DATA ANALYST,JBS USA Food Company,3.4,Greeley,CO,Explicitly Defined,Annually,"58,485","76,020",$,Full-time,"Dental insurance, Health insurance, 401(k) matching, Paid time off, 401(k)","Communication skills, Machine learning, Data structures, Microsoft Office, Forecasting, Bachelor's degree","Purpose and Scope/General Summary: We are looking for an onsite Financial Data Analyst to join us at our Corporate office in Greeley, CO. The Financial Data Analyst provides mathematical modeling and analysis services to support critical financial, operational, and/or strategic planning decisions. They will engage in supporting project teams in value added activities that generate practical solutions to complex business problems, explores new business alternatives, and drives improvement in business decisions.

Responsibilities:
Develops the approach and methods to define and solve management problems through quantitative analysis and analytical models, using operations research, statistics, machine learning, forecasting techniques, and structured programming languages
Provides on-going analytical services to business unit
Builds mathematical modeling, forecasting, applications development, and provides business unit support
Leverages understanding of the business process to identify and implement solutions that will result in significant bottom-line contributions
Participates in model design, prototype, and model development for several efforts that occur simultaneously, and interfaces with product delivery groups
Identifies, researches, or solves large complex problems using big data
Designs analytic plan/develop hypotheses to test; understands limitations of analysis (what it can and cannot be used for)
Understands the intuition behind the numbers (i.e. does it make sense?)
Stays up to date on the latest analytical methods and research
Communicates results to management
Contributes deck content and builds the story for the deck with guidance to summarize findings
Speaks in a manner appropriate for working team and their level +1
Raises concerns when scope of analysis may not align with time available and can choose an appropriate scope of analysis to conduct balancing ROI to time available
Identifies solution quality risks and on-time risks
Understands the business value, process, and expectations before focusing on choice of a technical solution
Anticipates working team questions to data and approach
Develops and delivers presentations aligned with CIEO standards
Other duties as assigned

Qualifications:
Bachelor’s Degree in Finance, Accounting, or related subject required
Coursework or work experience with mathematical programming or probability/ forecasting techniques preferred
Good business, technical, verbal/written communication, presentation. Adaptability to changing business environment
Good interpersonal skills and ability to interact with clients
Proficient with MS Office
Experience with programming language preferred
Knowledge of industry data sources preferred
2+ years of professional experience in financial analytical field preferred
1+ years designing and programming/coding data structures for large-scale computer models preferred
Demonstrated ability to create business value using “Big Data”
As a salaried position with the company, you may be required to travel at some point to other facilities, to attend Company events, or as a representative of the Company in other situations. Unless otherwise specified in this posting, the amount of travel may vary and the most qualified candidate must be willing and able to travel as business needs dictate

The applicant who fills this position will be eligible for the following compensation and benefits:

Benefits: Vision, Medical, and Dental coverage begin after 60 days of employment;
Paid Time Off: sick leave, vacation, and 6 company observed holidays;
401(k): company match begins after the first year of service and follows the company vesting schedule;
Base salary range of $58,485-$76,020; and
Incentive Pay: This position is eligible to participate in the Company’s annual bonus plan, the amount of bonus varies and is subject to the standard terms and conditions of the incentive program;

For individuals assigned and/or hired to work in Colorado, JBS and Pilgrim’s is required by law to include a reasonable estimate of the compensation for this role. This compensation range is specific to the State of Colorado and takes into account various factors that are considered in making compensation decisions, including but not limited to a candidate’s relevant experience, qualifications, skills, competencies, and proficiencies for the role.

The Company is dedicated to ensuring a safe and secure environment for our team members and visitors. To assist in achieving that goal, we conduct a drug, alcohol, and background checks for all new team members post-offer and prior to the start of employment. It is a job expectation that all new employees are fully vaccinated against COVID-19. Those who have, at minimum, the first of a two-dose vaccine in advance of their first date of employment will be required to receive the second dose within the manufacturers recommend timeframe and submit proof of their final vaccination dose once obtained. If you need assistance in obtaining a vaccine, the Company can help schedule you with one of its healthcare partners following a conditional job offer, if one is made. The Immigration Reform and Control Act requires that verification of employment eligibility be documented for all new employees by the end of the third day of work.

About us: Pilgrim’s is the second largest chicken producer in the world, with operations in the U.S., Puerto Rico, Mexico and the U.K. Pilgrim’s processes, prepares, packages and delivers fresh, further-processed and value-added poultry products for sale to customers in more than 100 countries, employs more than 50,000 people and contracts with more than 5,200 family farmers. Pilgrim’s is headquartered in beautiful Greeley, Colorado, at the JBS USA corporate office where our 1,200 employees enjoy more than 300 days of sunshine a year.

Our mission: To be the best in all that we do, completely focused on our business, ensuring the best products and services to our customers, a relationship of trust with our suppliers, profitability for our shareholders and the opportunity of a better future for all of our team members.

Our core values are: Availability, Determination, Discipline, Humility, Ownership, Simplicity, Sincerity

EOE/Vets/Disability"
219,Data Analyst Senior - Remote,Progressive,3.6,United States,United States,Explicitly Defined,Annually,"68,100","90,800",$,Full-time,"Health savings account, Dental insurance, Health insurance, On-site gym, Military leave","SQL, SAS, SSIS, Hadoop, GitHub, Bachelor's degree","Job Number: 203912

Join Forbes’ 2022 Best Employer for Diversity!

As a senior data analyst in Performance Measurement & Analysis, you'll focus on quantitative analysis. This includes working with internal customers to understand their requirements, collaborating with peers, presenting unique findings to leadership, and implementing solutions. You'll be embedded on a team of analysts, BI developers and data engineers to support a $1 billion arm of Progressive by providing analytics and reporting for our contact center operations. You’ll use your knowledge of advanced analytical, statistical, and technical methods to answer complex business questions and provide solutions. In addition, you'll also focus on automation and data validation to improve efficiencies and reduce waste. This is a remote position.

Must-have qualifications

Bachelor's degree or higher in a quantitative field of study and a minimum of three years of analytical work experience
Instead of a quantitative degree, a bachelor's degree or higher and a minimum of five years of analytical work experience
Instead of a degree, a minimum of six years of analytical work experience

Preferred skills

Intermediate proficiency in SAS and/or SQL, including the ability create and troubleshoot basic programming
Knowledge of Hadoop, Python, Github, SSIS or AWS
Experience maintaining Tableau dashboards; willingness to learn how to develop Tableau dashboards
Demonstrated ability to lead/manage multiple projects simultaneously and experience influencing leadership decisions
Ability to learn quickly and work in an adaptive, team-oriented environment.

Compensation

$68,100-$90,800/year
Gainshare bonus up to 30% of your eligible earnings based on company performance

Benefits

401(k) with dollar-for-dollar company match up to 6%
Medical, dental & vision, including free preventative care
Wellness & mental health programs
Health care flexible spending accounts, health savings accounts, & life insurance
Paid time off
Paid & unpaid sick leave where applicable, as well as short & long-term disability
Parental & family leave; military leave & pay
Diverse, inclusive & welcoming culture with Employee Resource Groups
Career development & tuition assistance
Onsite gym & healthcare at large locations

Energage recognizes Progressive as a 2022 Top Workplace for: Innovation, Purposes & Values, Work-Life Flexibility, Compensation & Benefits, and Leadership.

Equal Opportunity Employer

Sponsorship for work authorization for foreign national candidates is not available for this position.

#LI-Remote

Job: Business Analysis

Primary Location: United States

Schedule: Full-time

Employee Status: Regular

Work From Home: Yes"
220,Data Analyst Senior - Remote,Progressive,3.6,United States,United States,Explicitly Defined,Annually,"68,100","90,800",$,Full-time,"Health savings account, Dental insurance, Health insurance, On-site gym, Military leave","SQL, SAS, SSIS, Hadoop, GitHub, Bachelor's degree","Job Number: 203912

Join Forbes’ 2022 Best Employer for Diversity!

As a senior data analyst in Performance Measurement & Analysis, you'll focus on quantitative analysis. This includes working with internal customers to understand their requirements, collaborating with peers, presenting unique findings to leadership, and implementing solutions. You'll be embedded on a team of analysts, BI developers and data engineers to support a $1 billion arm of Progressive by providing analytics and reporting for our contact center operations. You’ll use your knowledge of advanced analytical, statistical, and technical methods to answer complex business questions and provide solutions. In addition, you'll also focus on automation and data validation to improve efficiencies and reduce waste. This is a remote position.

Must-have qualifications

Bachelor's degree or higher in a quantitative field of study and a minimum of three years of analytical work experience
Instead of a quantitative degree, a bachelor's degree or higher and a minimum of five years of analytical work experience
Instead of a degree, a minimum of six years of analytical work experience

Preferred skills

Intermediate proficiency in SAS and/or SQL, including the ability create and troubleshoot basic programming
Knowledge of Hadoop, Python, Github, SSIS or AWS
Experience maintaining Tableau dashboards; willingness to learn how to develop Tableau dashboards
Demonstrated ability to lead/manage multiple projects simultaneously and experience influencing leadership decisions
Ability to learn quickly and work in an adaptive, team-oriented environment.

Compensation

$68,100-$90,800/year
Gainshare bonus up to 30% of your eligible earnings based on company performance

Benefits

401(k) with dollar-for-dollar company match up to 6%
Medical, dental & vision, including free preventative care
Wellness & mental health programs
Health care flexible spending accounts, health savings accounts, & life insurance
Paid time off
Paid & unpaid sick leave where applicable, as well as short & long-term disability
Parental & family leave; military leave & pay
Diverse, inclusive & welcoming culture with Employee Resource Groups
Career development & tuition assistance
Onsite gym & healthcare at large locations

Energage recognizes Progressive as a 2022 Top Workplace for: Innovation, Purposes & Values, Work-Life Flexibility, Compensation & Benefits, and Leadership.

Equal Opportunity Employer

Sponsorship for work authorization for foreign national candidates is not available for this position.

#LI-Remote

Job: Business Analysis

Primary Location: United States

Schedule: Full-time

Employee Status: Regular

Work From Home: Yes"
221,Data Analytics Specialist - 20067657,State of Ohio Jobs,3.7,Columbus,OH,Explicitly Defined,Hourly,29.66,43.51,$,Full-time,"Health insurance, 457(b), Paid time off, Vision insurance, Retirement plan","Power BI, Cognos, SAS, Leadership, R","Primary Location: United States of America-OHIO-Franklin County-Columbus
Work Locations: William Green Building 30 West Spring Street Columbus 43215-2256
Organization: Workers' Compensation
Classified Indicator: Classified
Bargaining Unit / Exempt: Bargaining Unit
Schedule: Full-time
Work Hours: 8:00am - 5:00pm
Compensation: $29.66 - $43.51
Unposting Date: Jan 22, 2023, 10:59:00 PM
Job Function: Insurance

Agency Contact Name: BWC Human Resources
Agency Contact Information: A81104@bwc.state.oh.us

Data Analytics Specialist - 20067657
(22000C94)

Job Duties

A Little About Us:
With roughly 1,600 employees in 11 offices across Ohio, BWC is the state agency that cares for Ohio workers by promoting a culture of safety at work and at home and ensuring quality medical and pharmacy care is provided to injured workers.

For Ohio employers, we provide insurance policies to cover workplace injuries and safety and wellness services to prevent injuries.

Our Culture:
BWC is a dynamic organization that offers career opportunities across many different disciplines. BWC employees strive to maintain an inclusive workplace. We begin by being an equal opportunity employer. Employees can participate in and lead employee resource groups, participate in online forums discussing society’s impact on our services and workplace, and learn about how different perspectives can improve leadership skills.

Our Vision:
To transform BWC into an agile organization driven by customer success.

Our Mission:
To deliver consistently excellent experiences for each BWC customer every day.

Our Core Values:
One Agency, Personal Connection, Innovative Leadership, Relentless Excellence

If you are interested in helping BWC grow, please click this link to read more, and then come back to this job posting to submit your application!

BWC is currently operating under a hybrid schedule that can incorporate both teleworking and in-office hours. Employees may be required to report to the office when requested by management &/or for their initial job training.

What You'll Be Doing:
Recommending actionable business solutions & insights impacting agency goals & objectives;
Collecting data from multiple internal systems and external sources;
Reviewing emerging issue studies issued by leading workers’ compensation industry experts and government entities;
Preparing reports and presenting findings to agency leaders.

What’s in it for you:
At the State of Ohio, we take care of the team that cares for Ohioans. We provide a variety of quality, competitive benefits to eligible full-time and part-time employees. For a list of all the State of Ohio Benefits, visit our Total Rewards website! Our benefits package includes:

Medical Coverage

Quality, affordable, and competitive medical benefits are offered through the Ohio Med PPO plan.

Dental, Vision and Basic Life Insurance

Dental, vision and basic life insurance premiums are free after one year of continuous service.

Time Away From Work and Work/Life Balance

Paid time off, including vacation, personal, and sick leave
11 paid holidays per year
Childbirth/Adoption leave

Ohio Public Employees Retirement System

OPERS is the retirement system for State of Ohio employees. The employee contributes 10% of their salary towards their retirement. The employer contributes an amount equal to 14% of the employee’s salary. Visit the OPERS website for more information.

Deferred Compensation

The Ohio Deferred Compensation program is a 457(b) voluntary retirement savings plan. Visit the Ohio Deferred Compensation website for more information.

Ohio is a Disability Inclusion State and strives to be a Model Employer of Individuals with disabilities. The State of Ohio is committed to providing access and inclusion and reasonable accommodation in its services, activities, programs and employment opportunities in accordance with the Americans with Disabilities Act (ADA) and other applicable laws.

Qualifications

Required Experience and/or Education:
Completion of graduate core program in data analytics, applied mathematics, statistics, industrial/systems engineering, or related field; 12 mos. exp. in data analytics, statistical analysis, or research methods.

Or completion of undergraduate core program in data analytics, applied mathematics, statistics, industrial/systems engineering, or related field; 24 mos. exp. in data analytics, statistical analysis, or research methods.

Or completion of associate core program in data analytics, applied mathematics, statistics, industrial/systems engineering, or related field; 30 mos. exp. in data analytics, statistical analysis, or research methods.

Or 48 mos. exp. in data analytics or statistical analysis.

Or equivalent of Minimum Class Qualifications For Employment noted above.

Necessary Skills and Competencies:
Knowledge of: employee training & development*, BWC policies & procedures*, data analytics, statistical analysis, data visualization software.

Skill in: Microsoft Office Suite, data analysis software, statistical analysis software (e.g. SAS, SPSS), business intelligence (BI) & data visualization tools (e.g. Tableau, PowerBI, Cognos, Snowflake), coding and reporting (e.g. Python, R).

Ability to: acquire data from multiple sources, work with structured and unstructured data, understand somewhat abstract field of study, deal with many variables & determine specific action, use statistical analysis, use proper research methods in gathering data, develop complex reports, gather, collate & classify information about data, people or things. communicate & present technical information effectively both verbally & in writing to internal & external customers, develop a clear, logical time-line for tracking projects (e.g. hours worked on the projects, documenting procedures).

(*)Developed after employment.

BWC OCSEA Selection Rights
This position shall be filled in accordance with the provisions of the OCSEA Collective Bargaining Agreement. BWC bargaining unit members have selection rights before non-bargaining unit members. All other applications will only be considered if an internal bargaining unit applicant is not selected for this position.

Salary Information
Unless required by legislation or union contract, starting salary is set at lowest rate of the salary range. In most cases successful employees will move up a step in the salary range within six months, with subsequent step increases occurring every year as supported by successful performance evaluation results.

Educational Transcript Requirement
In order for any educational achievements to be considered during the screening process, you must at least attach an unofficial transcript that details the coursework you have completed.

Transportation:
Position may require travel; therefore, persons occupying this position must be able to provide own transportation &/or legally operate a state-owned vehicle.

Background Check Information

Prior to an offer of employment, the final applicant will be required to sign a background check authorization form and undergo a criminal background check. Criminal convictions do not necessarily preclude an applicant from consideration for a position.

EEO & ADA Statement:
The State of Ohio is an Equal Employment Opportunity Employer and does not discriminate based on race, color, religion, gender, gender identity or expression, national origin (ancestry), military status, disability, age (40 years or older), genetic information, sexual orientation, or caregiver status in making employment-related decisions about an individual.

The Ohio Bureau of Workers' Compensation is committed to providing access and reasonable accommodation in its services, programs, and employment opportunities following the Americans with Disabilities Act and other applicable laws.

All applicants must submit an Ohio Civil Service Application using the online Ohio Hiring Management System. Paper applications will not be accepted."
222,Business Analyst,Dallas Endoscopy,,Dallas,TX,Estimated,Annually,"83,000","110,000",$,Contract,,,"This is a contract (1099) position with a healthcare-focused software company in Dallas, TX.

We’re a small team, so your contribution will make a big difference

Requirements

Business Analyst certification strongly preferred.

Must have 6 years of recent healthcare experience and be knowledgeable about medical information.

Duties

1. Requirements elicitation, management, and communication

Gather business requirements, user stories, processes and workflows
Develop explicit use cases & user stories; test script mapping
Document and validate traceable business and functional requirements documents with detailed specifications; data requirements; process flow diagrams for applications to meet business requirements and user stories
Create wireframes & mock-up prototypes (where appropriate)
Create business requirements documents with detailed specifications for applications to meet business requirements and user stories

2. Requirements analysis

Analyze the business and provide insights, feedback and recommendations to improve the process and/or business area
Prioritize requirements
Actively contribute to user interface design meetings
Develop and document solution approach with vendor and/or developers
Create product/business lifecycle roadmap, where applicable
Create logical, physical, process diagrams
Build and maintain knowledge database

3. Requirements traceability

Assist QA team with SIT test case preparation and execution
Assist with analysis, design, development, testing, validation, and support for new and existing applications
Prepare and participate in delivery of presentations and reports
Deliver traceability matrix reports

4. User Acceptance Testing and Execution

Develop detailed UAT scripts that map to business requirements
Facilitate UAT execution with business stakeholders
Build and maintain knowledge database, maintain all documents and manage all documentation"
223,Business Analyst,ePATHUSA Inc,,Richmond,VA,Explicitly Defined,Hourly,55,55,$,Contract,,"ITIL, Power BI, Communication skills, SharePoint, Microsoft Office","Seeking Business Analyst that will serve as Change Coordinator ,Monitoring the End to End Change Management process to

assess, control and track RFCs.

Process Normal, Standard, Emergency, RFCs by working with ITD Developers, DBAs/SE, Managers and executives regarding Change Management process. Monitoring the End to End CM process to assess, control and track RFCs. Provide user support to Change Management Tool Users by creating training plans, requirements, knowledge transfer, and other CM system changes. Provide support for the Ivanti Upgrade Projects. Write and manage diverse documentation: presentations, impact analysis, implementation plans, training plans, policies and procedures, traceability and RACI documents, user manuals, risk assessments, communication, release management, and other on-demand documentation. Create and Manage Communication Distribution: Facilitate change announcements, gather reporting metrics and creating BI reports, create and manage Change flowcharts and process maps to illustrate the CM end-to-end processes.

Requirements
Skill
Required / Desired
Amount
of Experience
Candidate

Experience delivering business and systems analyst artifacts

Required
10
Years

Must have exceptional written and oral communication skills

Required
10
Years

Experience with Ivanti Service Manager

Highly desired
2
Years

Familar with ITIL framework and Processes

Highly desired
2
Years

Experience with Power BI

Required
2
Years

Experience with SharePoint

Required
2
Years

Experience with Microsoft Office

Required
5
Years"
224,Data Analyst I - Pharmacological Sciences,Mount Sinai,3.7,New York,NY,Explicitly Defined,Annually,"58,661","74,250",$,,,"Management, Bachelor's degree, Master's degree","Strength Through Diversity

Ground breaking science. Advancing medicine. Healing made personal.

The Data Analyst I is responsible for implementing best information technology data management practices in an effort to improve and ensure quality, streamline data cleaning efforts and deliver analyzable databases within agreed upon project timelines.

Roles & Responsibilities:
Designs and writes custom applications needed to ensure the database meets requirements for the entry, management and reporting of data.
Assists in the development of data management plans and guidelines that will deliver accurate, timelines consistent with quality data. Assures the quality control compliance process.
Identifies and implements solutions to data management issues and concerns that arise during the conduct of research studies.
Assists staff with technical issues related to electronic and remote record keeping systems; trains staff to help improve quality of data collected.
Assists medical students, interns, residents and/or program faculty with queries and generating statistical analyses.
Maintains knowledge of the current regulations and technologies related to data management.
May write and prepare manuscripts and other materials for internal and external audiences.
Performs other related duties.

Requirements:
Education: Bachelor’s degree in computer science, statistics and/or related field, or combination of equivalent work experience and education. Master’s degree in relevant field of study preferred.
Experience: 2-3 years database application/management experience, preferably in a large medical center or healthcare environment.

Strength Through Diversity

The Mount Sinai Health System believes that diversity, equity and inclusion are drivers for excellence. We share a common devotion to delivering exceptional patient care. Yet we’re as diverse as the city we call home- culturally, ethically, in outlook and lifestyle. When you join us, you become a part of Mount Sinai’s unrivaled record of achievement, education, and advancement as we revolutionize medicine together and participate actively as a leader within the Mount Sinai Health System by:

Serving as the primary resource management representative of the Mount Sinai leadership teams, committees, etc., and acting as the primary executive leader interface between Mount Sinai and key executives from the health systems’ vendors and partners.

Engaging with relevant thought leaders and policy-makers at the federal and state levels, and representing the Health System as assigned.

Using a lens of equity in establishing and promoting policies and procedures and providing opportunities for all to thrive.

Confronting racist, sexist or other inappropriate behavior and challenges exclusionary organizational practices and serving as a role model to promote anti-racist behaviors.

Inspiring and fostering an environment of anti-racist behaviors among and between departments and co-workers.

We work hard to acquire and retain the best people, and to create a welcoming, nurturing work environment where you can develop professionally. We share the belief that all employees, regardless of job title or expertise, can make an impact on quality patient care.

Explore more about this opportunity and how you can help us write a new chapter in our story!

Who We Are

Over 42,000 employees strong, the mission of the Mount Sinai Health System is to provide compassionate patient care with seamless coordination and to advance medicine through unrivaled education, research, and outreach in the many diverse communities we serve.

Formed in September 2013, The Mount Sinai Health System combines the excellence of the Icahn School of Medicine at Mount Sinai with seven premier hospital campuses, including Mount Sinai Beth Israel, Mount Sinai Beth Israel Brooklyn, The Mount Sinai Hospital, Mount Sinai Queens, Mount Sinai West (formerly Mount Sinai Roosevelt), Mount Sinai Morningside (formerly Mount Sinai St. Luke’s), and New York Eye and Ear Infirmary of Mount Sinai.

The Mount Sinai Health System is an equal opportunity employer. We comply with applicable Federal civil rights laws and does not discriminate, exclude, or treat people differently on the basis of race, color, national origin, age, religion, disability, sex, sexual orientation, gender identity, or gender expression.

EOE Minorities/Women/Disabled/Veterans

Compensation

The Mount Sinai Health System (MSHS) provides a salary range to comply with the New York City Law on Salary Transparency in Job Advertisements. The salary range for the role is $58,661.00 - $74,250.00 Annually. Actual salaries depend on a variety of factors, including experience, education, and hospital need. The salary range or contractual rate listed does not include bonuses/incentive, differential pay or other forms of compensation or benefits."
225,Deposit Portfolio Analyst | Full-Time,Avadian Credit Union,3.2,Hoover,AL,Estimated,Annually,"42,000","56,000",$,Full-time,,"Analysis skills, Data analytics, Power BI, Communication skills, Microsoft Excel, High school diploma or GED","Description:
The Deposit Portfolio Analyst is responsible for developing and implementing processes and systems for data gathering, validation, and reporting of the deposit portfolio that can provide insight and forward-looking information for strategic planning and management.

Functions and Responsibilities:
Support deposit growth through the collection, aggregation, and reporting of data that informs product/sales strategy recommendations.
Review deposit records to ensure meaningful and accurate data coding.
Review documents for adherence to policy and compliance. Update and track documentation policy and compliance exceptions.
Correct and resolve encoding errors.
Provide file maintenance solutions to ensure clean and accurate data gathering.
Collaborate with internal teammates with forecasts, analysis, and report development. Support internal teammates with deposit related issues.
Identify and escalate policy and compliance red flags timely.
Serve as a back-up to the Deposit Support Specialist.
Prepare spreadsheets, reports, and summaries for management, as needed.
Assist in compiling information needed by auditors.
Comply with the Bank Secrecy Act, OFAC and USA PATRIOT Act including Customer Identification Program, customer due diligence, identifying high-risk accounts, and reporting suspicious activities to VP Deposit Administration or Compliance Department.
Perform other duties as assigned by supervisor.

Requirements:
The ideal candidate must meet the following qualifications:
Have at least one year of similar or related experience. One year of banking or credit union experience is preferred.
Have a high school diploma or GED. Data Analyst degree or certification is preferred.

Have the following:
Advanced level skills with data analytics tools such as Power BI or Tableau.
Proficient analytical skills including the ability to gather and clean data, identify coding opportunities, and model meaningful information.
Advanced skills in Excel to include formula writing, querying, merging, data validation, etc.
Have a high degree of accuracy and attention to detail. Be a self-starter, conscientious, and possess excellent typing skills.
Be able to handle conflict in a professional manner, exhibit professionalism in communication skills, and be able to work under the pressure of deadlines.

Please note - submitting a resume does not guarantee any future action by Avadian Credit Union.

Avadian Credit Union is an Equal Opportunity Employer"
